Nama,URL,Alamat,Kode Pos,Telepon,Fax,Email
Asrama Internasional,https://www.itb.ac.id/directories/view/asrama-internasional-sr,"Jalan Sangkuriang N0. 27, Kelurahan dago, Kecamatan Coblong, Kota Bandung,",", 40132","+62 22-2534119,",",",sekretariat@asrama.itb.ac.id
Asrama Kidang Pananjung,https://www.itb.ac.id/directories/view/asrama-kidang-pananjung-su,"Jalan Cisitu Lama VIII No.12, Coblong","Bandung,","+62 22-2534119,",",",sekretariat@asrama.itb.ac.id
Asrama Jatinangor,https://www.itb.ac.id/directories/view/asrama-jatinangor-ss,"Jalan Let. Jen. Purn. Dr. (HC). Mashudi N0.1/ Jl. Raya Jatinangor Km 20,75 ,","Sumedang,",",",",",
Asrama Sangkuriang,https://www.itb.ac.id/directories/view/asrama-sangkuriang-sv,"Jl. Sangkuriang No.60/160A, Coblong","Bandung,","40135,",",",sekretariat@asrama.itb.ac.id
Asrama Kanayakan,https://www.itb.ac.id/directories/view/asrama-kanayakan-st,"Jalan Kanayakan Lama No.61,","Bandung,","+62 22-2534119,",",",sekretariat@asrama.itb.ac.id
Badan Pengelola Usaha dan Dana Lestari,https://www.itb.ac.id/directories/view/badan-pengelola-usaha-dan-dana-lestari-w,"Jalan Tamansari no 78,","Bandung, 40132","+62-22-2504475, +62-22-2516033","+62-22-2504475,",bpudl@bpudl.itb.ac.id
Biro Kemitraan,https://www.itb.ac.id/directories/view/biro-kemitraan-vw,"Jalan Tamansari no. 64,","Bandung, 40116","+62-22-4240250, +62-22-2504282","+62-22-4240250, +62-22-2504282",sekre-kemitraan@itb.ac.id sekre-kemitraan@office.itb.ac.id
Biro Administrasi Umum dan Informasi,https://www.itb.ac.id/directories/view/biro-administrasi-umum-dan-informasi-wr,"Jalan Tamansari no. 64,","Bandung, 40116","+62-22-2500935,","+62-22-2500935,",Biroaduminfo@itb.ac.id
Biro Komunikasi dan Hubungan Masyarakat,https://www.itb.ac.id/directories/view/biro-komunikasi-dan-hubungan-masyarakat-ws,"Jalan Tamansari no. 64,","Bandung, 40116","+62-22-2511243, +62-22-2511205","+62-22-2511243,",sekrebkhm@itb.ac.id
Direktorat ITB Kampus Jatinangor,https://www.itb.ac.id/directories/view/direktorat-itb-kampus-jatinangor-z,"Jalan Let.Jen.Purn. Dr. (HC). Mashudi no. 1 / Jalan Raya Bandung-Sumedang KM 20,75 , Jatinangor","Sumedang, 45363","+62-22-7798600, +62-22-7798634","+62-22-7798617,",sekretariat@jatinangor.itb.ac.id
